screen_name profile_duration default_profile default_profile_image description_not_null favourites_count followers_count friends_count geo_enabled listed_count location_not_null profile_use_background_image protected statuses_count url_not_null verified class
Dv_b 1151.87087963 0 0 1 5 381 495 0 3 1 1 0 1433 0 0 1
vapee 1638.290543981 0 0 1 139 1759 1279 0 51 1 1 0 63217 1 0 0
PriscillaPatte2 405.433877315 0 0 1 699 211 967 0 0 1 1 0 1755 0 0 1
jacquiec77 973.607349537 0 0 1 0 140 662 0 5 1 1 0 90 0 0 1
denissenwfw 146.08349537 1 0 1 0 13 239 0 0 1 1 0 31 0 0 1
Kidd__Skull 1270.453877315 0 0 1 21 124 141 1 0 1 1 0 5555 1 0 1
alongLStreet 2043.440949074 0 0 1 26 797 1430 1 25 1 0 0 1170 1 0 0
DMSank 1209.056770833 0 0 1 70 362 616 1 2 1 1 0 1044 1 0 0
talliawfxcyq 260.831238426 1 0 1 0 37 621 0 0 1 1 0 12 0 0 1
susannbaueryxd 175.912997685 1 0 1 0 33 538 0 0 1 1 0 33 0 0 1
lsthomasuno 24.548657407 1 1 1 0 1 11 0 0 1 1 0 0 0 0 1
bhponeworld 592.434421296 0 0 1 4 108 681 0 2 1 1 0 252 1 0 0
JerBear1992 1254.437222222 0 0 1 0 4 3 0 0 1 1 0 20 0 0 1
NuLivLifestyle 496.006828704 0 0 1 5 4401 4207 0 48 1 1 0 437 1 0 0
rafaelado1 1014.082916667 0 0 1 0 12 112 0 0 1 1 0 5 0 0 1
JSA_Casariche 258.118287037 1 0 1 0 136 153 0 1 1 1 0 99 0 0 0
x0stephybaybee 1006.192002315 0 0 1 70 108 222 0 0 1 1 0 899 0 0 1
rafaela_fj 673.609131944 0 0 1 0 208 632 1 2 1 1 0 256 1 0 1
Trix_SmS 290.589305556 0 0 1 13 1303 17 1 1 1 1 0 5742 1 0 1
skylarrsaurr 1303.251770833 0 0 1 285 172 266 1 3 1 1 0 24265 1 0 0
Dimas_Official1 205.967835648 0 0 1 0 276 559 0 0 1 1 0 1611 0 0 1
Toxicqamer 86.770023148 1 0 1 0 26 78 0 0 1 1 0 48 0 0 1
CandiceMarchal 782.086585648 1 0 1 190 1896 868 0 51 1 1 0 8398 1 0 0
coolshax 1145.901157407 0 0 1 776 22962 15688 0 114 1 1 0 21612 1 0 0
torrieiid 271.992743056 1 0 1 0 40 656 0 0 1 1 0 16 0 0 1
sinneralmeida 1306.52974537 0 0 1 29 564 568 0 33 1 1 0 36019 1 0 0
Delhidelhi1 403.419224537 1 1 1 0 573 1651 0 0 1 1 0 164 0 0 0
pharoahemonch 1198.167430556 0 0 1 24 78950 619 0 1872 1 1 0 21250 1 1 0
